apartment_id,area_id,entity_subtype,geometry,elevation,height,orientation,window_area,layout_area,window_floor_ratio,door_connection1,door_connection2,view_landscape_nature_mean,view_landscape_urban_mean
Design2,208,OUTDOOR_SPACE,"POLYGON((-10.7905834893 21.5491695667,-9.49497092166 21.1183493161,-12.1724950672 13.0661885155,-13.4681076349 13.4970087660,-10.7905834893 21.5491695667))",8.7,2.6,West,0,11.586012,0,0,0,2.577001,1.068926
Design2,200,WINDOW,"POLYGON((-9.99994258999 19.6001014459,-9.62159813414 20.7388970696,-9.39383900939 20.6632281785,-9.77218346524 19.5244325547,-9.99994258999 19.6001014459))",9.3,11.3,West,2.4,0,0,0,0,0,0
Design2,201,WINDOW,"POLYGON((-10.9982671818 16.5964678984,-10.6199227259 17.7352635222,-10.3921636012 17.6595946310,-10.7705080570 16.5207990073,-10.9982671818 16.5964678984))",9.3,11.3,West,2.4,0,0,0,0,0,0
Design2,202,WINDOW,"POLYGON((-9.40232828841 12.1401252522,-10.8231003367 12.6205718869,-10.7507557903 12.8494683875,-9.32998374197 12.3690217527,-9.40232828841 12.1401252522))",9.3,11.3,South,2.999615,0,0,0,0,0,0
Design2,202,WINDOW,"POLYGON((-7.12445166214 11.3842958564,-8.54522371042 11.8647424912,-8.47287916398 12.0936389917,-7.05210711570 11.6131923569,-7.12445166214 11.3842958564))",9.3,11.3,South,2.999615,0,0,0,0,0,0
Design2,205,WINDOW,"POLYGON((-4.84777052271 10.6357320960,-6.27144341413 11.1081254683,-6.19586047456 11.3359131310,-4.77218758313 10.8635197586,-4.84777052271 10.6357320960))",9.3,11.3,South,3,0,0,0,0,0,0
Design2,207,WINDOW,"POLYGON((1.84904870070 10.2660303719,1.46988865451 9.12577635554,1.24214932186 9.20150479381,1.62130936804 10.3417588102,1.84904870070 10.2660303719))",9.3,11.3,East,2.403282,0,0,0,0,0,0
Design2,207,WINDOW,"POLYGON((2.41649413283 11.9725180137,2.03548128186 10.8266920281,1.80774194921 10.9024204664,2.18875480017 12.0482464520,2.41649413283 11.9725180137))",9.3,11.3,East,2.415026,0,0,0,0,0,0
Design2,202,OUTSIDE_DOOR,"POLYGON((-11.9496459929 13.7191436040,-11.3819792532 15.4272738383,-11.1542535265 15.3515040574,-11.7219202662 13.6433738230,-11.9496459929 13.7191436040))",8.7,11.1,West,4.31997,0,0,202,208,0,0
Design2,0,DOOR,"POLYGON((-5.51274560180 17.8183022746,-5.48113147428 17.9131734870,-4.72216177512 17.6602604668,-4.75377590264 17.5653892545,-5.51274560180 17.8183022746))",0,0,0,0,0,0,203,204,0,0
